DateTime,AddedIPs,RemovedIPs
1512347815,0,1
1512349781,0,1
1512355491,0,2
1512357418,0,2
1512365084,0,1
1512368923,0,1
1512384273,0,1
1512386204,1,0
1512388129,1,1
1512390281,1,0
1512397952,0,1
1512409475,0,1
1512417381,1,0
1512421488,2,0
1512468079,1,0
1512471865,0,1
1512473800,0,1
1512481697,1,0
1512487959,1,0
1512493949,1,0
1512503817,0,1
1512508606,0,2
1512512444,1,0
1512518197,0,1
1512524203,1,0
1512537659,2,0
1512547292,1,0
1512556913,1,0
1512558754,1,0
1512560694,0,1
1512568346,0,1
1512573442,0,1
1512579170,1,0
1512581079,1,1
1512583004,1,0
1512602922,0,1
1512604887,1,0
1512608931,0,1
1512618559,1,0
1512624275,0,2
1512634090,0,1
1512643761,0,2
1512656225,1,0
1512666270,0,1
1512668776,0,2
1512690995,0,1
1512692922,1,0
1512705172,1,1
1512710899,1,0
1512742117,0,1
1512764656,1,0
1512778530,0,1
1512791831,0,1
1512797733,0,1
1512799701,1,0
1512803538,2,0
1512838591,1,0
1512850119,0,1
1512855862,1,0
1512865712,1,0
1512886845,0,1
1512890664,0,2
1512900266,1,0
1512902213,1,0
1512910104,1,0
1512924517,0,1
1512933419,1,0
1512943293,0,1
1512950922,1,0
1512952843,2,1
1512979960,1,0
1512985709,0,1
1512987648,0,1
1512991476,1,0
1512993377,1,0
1512998435,0,1
1513014706,1,0
1513019304,0,1
1513040483,0,3
1513063476,1,0
1513067301,1,1
1513073085,3,0
1513076900,1,0
1513080865,0,1
1513098306,0,1
1513100371,0,1
1513102347,1,0
1513108121,1,0
1513115791,1,0
1513128053,1,0
1513145969,1,0
1513150125,0,1
1513153959,0,1
1513155882,1,0
1513159718,0,3
1513163548,0,1
1513169335,1,0
1513173173,1,0
1513175104,2,0
1513189251,0,1
1513191153,2,0
1513193072,0,1
1513201005,0,1
1513206979,2,0
1513214698,0,1
1513221416,1,0
1513231110,0,1
1513241074,0,1
1513255243,0,1
1513257159,1,0
1513261013,0,3
1513264856,1,0
1513276615,0,1
1513278536,0,1
1513286197,1,0
1513293041,0,2
1513306091,1,0
1513308022,0,1
1513343780,0,1
1513363257,0,1
1513372101,0,1
1513387947,1,0
1513393737,0,1
1513407396,1,0
1513493530,0,1
1513502173,1,0
1513507953,1,0
1513519455,1,0
1513555311,2,0
1513582120,1,0
1513585995,1,0
1513588143,2,2
1513593858,0,1
1513603247,1,0
1513605200,0,1
1513612186,1,0
1513617870,5,0
1513637345,1,0
1513641161,0,1
1513657475,1,0
1513661317,2,0
1513673785,0,2
1513675964,0,1
1513691303,0,1
1513693221,2,0
1513699021,0,1
1513704167,1,5
1513708128,1,1
1513723097,0,1
1513743921,0,1
1513747773,0,2
1513754473,1,0
1513771004,1,0
1513777877,0,1
1513779938,0,1
1513782095,1,0
1513787829,0,1
1513795477,1,1
1513802475,1,0
1513806336,1,0
1513814945,1,0
1513818986,1,0
1513820809,1,0
1513824676,1,0
1513834601,1,0
1513842259,0,1
1513850499,1,0
1513858469,0,1
1513860292,0,1
1513869470,0,1
1513877813,0,1
1513888671,2,0
1513896191,0,1
1513901667,0,1
1513906116,0,1
1513908283,0,1
1513910190,0,1
1513920496,0,1
1513926340,1,0
1513928190,1,0
1513936388,1,1
1513938211,1,0
1513940292,1,0
1513959678,1,0
1513971221,0,1
1513973072,0,1
1513976920,1,0
1514002822,1,0
1514010500,1,0
1514013465,0,1
1514015323,1,0
1514017303,1,1
1514023005,0,1
1514024970,0,1
1514027792,0,1
1514031882,1,0
1514037669,1,0
1514047218,0,1
1514049143,1,0
1514054907,1,0
1514064517,0,1
1514087069,0,1
1514089059,0,1
1514096962,0,1
1514101082,0,1
1514104883,0,1
1514116936,1,0
1514118994,0,1
1514125022,0,1
1514130998,1,0
1514135307,0,1
1514141334,0,1
1514157414,2,0
1514159237,2,0
1514161247,1,0
1514180451,1,0
1514182559,1,0
1514193403,1,0
1514203187,0,1
1514212842,1,0
1514218944,0,1
1514225066,1,0
1514228913,4,0
1514230836,2,0
1514238430,1,0
1514240433,2,0
1514242241,1,0
1514246120,0,1
1514248087,0,2
1514255575,1,0
1514263451,1,0
1514269158,0,1
1514275283,0,1
1514279077,0,1
1514281126,1,0
1514285153,1,0
1514289035,1,0
1514290849,1,0
1514298543,0,1
1514310527,0,1
1514314901,2,4
1514317010,1,2
1514319202,0,1
1514323036,1,0
1514324941,0,2
1514326857,1,2
1514328732,0,1
1514330720,1,0
1514338267,1,0
1514340143,1,0
1514342192,0,1
1514350121,0,1
1514363176,1,0
1514371352,0,1
1514375574,0,3
1514385413,1,0
1514401900,1,2
1514403857,0,1
1514413393,0,1
1514417323,0,1
1514425485,0,2
1514433413,0,1
1514445383,1,0
1514449225,0,1
1514453066,1,0
1514457146,1,0
1514463411,1,0
1514471816,0,1
1514473704,1,0
1514481611,1,0
1514483525,2,0
1514485470,1,0
1514487730,0,1
1514489557,2,0
1514528427,1,0
1514534219,0,1
1514537994,1,0
1514539913,0,1
1514549708,1,1
1514557781,1,0
1514562080,0,1
1514567811,0,1
1514569979,0,1
1514571864,0,1
1514575716,0,1
1514577694,0,1
1514609731,0,1
1514611654,1,0
1514615541,0,1
1514623285,0,2
1514633069,1,0
1514635012,0,1
1514641002,1,0
1514644837,0,1
1514653463,1,0
1514687040,2,0
1514697045,0,1
1514705026,1,0
1514714911,1,0
1514718772,0,1
